cpu_percent,memory_percent,restart_count,response_time_ms,error_rate_percent,pod_phase,pod_phase_encoded,container_ready,oom_killed,network_errors,disk_pressure,pod_state_label
98.18,90.27,4,3000.0,22.31,CrashLoopBackOff,3,0,1,71,1,Failed
89.31,95.51,5,2537.05,10.26,Unknown,4,0,1,28,0,SLA_Violation
16.2,17.97,0,295.56,0.69,Running,0,1,0,1,0,Normal
84.8,80.0,2,2455.44,5.0,Running,0,1,0,20,1,SLA_Violation
36.7,38.67,0,224.81,0.24,Running,0,1,0,3,0,Normal
19.41,34.37,0,376.41,0.01,Running,0,1,0,0,0,Normal
88.02,85.35,2,2103.56,6.79,Unknown,4,1,0,40,1,SLA_Violation
78.79,85.23,5,2000.0,10.93,Running,0,1,0,14,0,SLA_Violation
30.35,28.0,1,317.12,0.44,Running,0,1,0,3,0,Normal
70.23,79.91,2,1727.25,2.97,Running,0,1,0,4,0,Warning
24.24,32.25,0,115.85,0.0,Running,0,1,0,0,0,Normal
13.22,94.0,10,5576.56,28.11,Pending,1,0,0,95,1,Failed
88.0,83.96,1,1461.62,2.54,Running,0,0,0,4,0,Warning
60.0,76.63,1,1273.09,2.08,Running,0,1,0,13,0,Warning
81.12,82.59,4,3343.57,8.76,Running,0,0,1,36,0,SLA_Violation
29.92,49.8,0,306.19,0.07,Running,0,1,0,2,0,Normal
84.18,79.31,3,1188.83,3.31,Running,0,1,0,12,0,Warning
79.75,81.09,4,2963.09,10.82,Running,0,0,0,24,0,SLA_Violation
60.81,79.5,1,1304.81,3.01,Running,0,1,0,8,0,Warning
24.08,26.36,1,303.88,0.08,Running,0,1,0,2,0,Normal
74.16,74.6,2,1428.32,2.59,Running,0,1,0,11,0,Warning
67.39,81.04,2,1650.28,2.52,Running,0,1,0,6,0,Warning
30.99,42.51,0,166.45,0.77,Running,0,1,0,2,0,Normal
23.37,40.71,0,238.94,0.0,Running,0,1,0,3,0,Normal
5.24,96.04,5,4095.68,31.39,Failed,2,0,0,44,0,Failed
78.0,87.67,5,2000.0,5.7,Pending,1,1,1,18,1,SLA_Violation
0.7,93.46,4,6006.29,19.23,Failed,2,0,0,42,0,Failed
90.01,82.35,2,2764.9,9.88,Running,0,1,0,40,0,SLA_Violation
78.0,84.02,3,2788.54,6.59,Pending,1,0,0,24,0,SLA_Violation
96.11,95.35,10,4844.32,36.68,Failed,2,0,1,93,1,Failed
32.54,38.38,0,267.05,0.26,Running,0,1,0,2,0,Normal
25.67,38.94,0,266.32,0.64,Running,0,1,0,3,0,Normal
88.0,81.97,2,1402.19,4.7,Running,0,1,0,10,0,Warning
68.74,65.0,1,1197.57,1.63,Running,0,1,1,4,1,Warning
26.48,35.18,0,434.11,0.66,Running,0,1,0,0,0,Normal
27.81,43.29,0,123.11,0.62,Running,0,1,0,0,0,Normal
37.71,20.21,0,391.5,0.67,Running,0,1,0,3,0,Normal
25.85,41.33,0,481.66,0.59,Running,0,1,0,2,0,Normal
86.49,85.7,3,2075.08,8.66,Pending,1,0,1,30,0,SLA_Violation
79.86,88.36,2,2261.17,7.96,Running,0,1,0,18,1,SLA_Violation
33.34,45.38,0,259.2,0.37,Running,0,1,0,2,0,Normal
64.17,71.45,2,1613.19,4.26,Pending,1,1,0,7,0,Warning
9.35,100.0,5,5413.43,43.77,Failed,2,0,1,61,1,Failed
22.26,22.55,0,157.7,1.25,Running,0,1,0,0,0,Normal
4.72,96.12,4,3874.51,49.46,Unknown,4,0,1,76,1,Failed
31.29,36.09,0,358.06,0.74,Running,0,1,0,3,0,Normal
95.67,96.89,5,6882.02,38.45,Failed,2,0,0,72,1,Failed
45.93,29.89,1,220.83,0.44,Running,0,1,0,0,0,Normal
30.56,45.94,0,164.6,1.26,Running,0,1,0,2,0,Normal
28.42,30.73,0,219.03,0.0,Running,0,1,0,0,0,Normal
78.59,75.59,2,1113.01,2.2,Running,0,1,0,15,0,Warning
26.64,51.69,0,279.23,0.0,Running,0,1,0,2,0,Normal
70.03,72.82,3,800.0,3.45,Running,0,1,0,13,0,Warning
27.69,41.96,0,447.92,1.06,Running,0,1,0,0,0,Normal
69.85,66.15,1,2200.0,3.56,Pending,1,0,0,4,0,Warning
30.14,34.76,1,315.85,0.43,Running,0,1,0,2,0,Normal
67.41,70.63,1,1490.17,2.96,Running,0,0,0,11,0,Warning
22.87,36.06,0,279.6,1.25,Running,0,1,0,1,0,Normal
78.0,93.46,3,3123.04,5.0,Pending,1,1,1,26,0,SLA_Violation
26.57,31.29,0,187.4,0.11,Running,0,1,0,3,0,Normal
78.34,96.76,3,2967.84,9.54,Running,0,1,1,22,0,SLA_Violation
37.22,23.71,0,258.04,0.74,Running,0,1,0,1,0,Normal
62.22,80.7,1,1427.9,3.13,Running,0,1,0,14,1,Warning
37.11,39.44,2,271.12,1.08,Running,0,1,0,1,0,Normal
19.19,41.16,0,347.45,0.35,Running,0,1,0,2,0,Normal
86.96,81.74,5,2962.01,6.63,Running,0,0,0,33,0,SLA_Violation
81.86,93.25,5,2147.83,5.0,Running,0,0,0,29,1,SLA_Violation
60.0,79.85,3,1115.87,5.25,Pending,1,0,0,8,0,Warning
90.0,95.84,5,0.0,19.55,Failed,2,0,1,56,1,Failed
87.39,87.81,3,3051.65,7.23,Running,0,0,1,24,0,SLA_Violation
31.5,31.36,0,295.44,0.65,Running,0,1,0,2,0,Normal
78.0,81.26,3,2871.63,7.34,Running,0,1,0,28,1,SLA_Violation
28.16,35.18,0,327.81,0.23,Running,0,1,0,3,0,Normal
65.77,76.57,1,1206.49,3.91,Pending,1,1,0,7,0,Warning
60.0,83.23,3,1641.78,3.76,Running,0,1,0,4,0,Warning
39.83,51.65,0,381.15,0.0,Running,0,1,0,3,0,Normal
61.76,70.0,1,1507.83,4.02,Running,0,0,0,4,0,Warning
66.19,76.49,2,1273.39,2.89,Pending,1,1,1,13,0,Warning
15.93,25.77,1,191.87,0.01,Running,0,1,0,0,0,Normal
0.25,100.0,6,0.0,26.85,Unknown,4,0,0,65,0,Failed
21.42,42.0,0,253.95,0.56,Running,0,1,0,1,0,Normal
88.0,74.23,3,1844.78,2.8,Running,0,1,0,12,0,Warning
29.65,52.71,1,249.84,1.41,Running,0,1,0,2,0,Normal
89.25,85.19,2,2816.2,8.95,Running,0,0,1,26,0,SLA_Violation
36.22,19.3,0,241.83,0.38,Running,0,1,0,3,0,Normal
94.78,95.71,10,0.0,28.8,CrashLoopBackOff,3,0,0,48,1,Failed
88.66,90.8,5,3040.39,8.67,Unknown,4,0,0,35,0,SLA_Violation
34.59,34.3,0,167.12,0.71,Running,0,1,0,2,0,Normal
73.66,77.17,2,1116.98,2.42,Running,0,0,1,4,0,Warning
40.53,34.6,0,354.52,0.51,Running,0,1,0,2,0,Normal
95.09,92.94,3,0.0,20.38,Pending,1,0,1,72,0,Failed
25.66,31.91,0,317.77,0.26,Running,0,1,0,3,0,Normal
42.56,26.05,0,285.05,0.28,Running,0,1,0,1,0,Normal
44.47,36.97,0,382.55,0.0,Running,0,1,0,3,0,Normal
74.14,82.12,2,1524.69,4.57,Pending,1,1,0,12,0,Warning
93.45,100.0,5,4637.16,20.54,Pending,1,0,1,32,1,Failed
44.53,50.8,1,258.17,0.29,Running,0,1,0,2,0,Normal
27.18,21.56,0,226.51,0.0,Running,0,1,0,0,0,Normal
4.83,95.94,3,6550.5,15.02,CrashLoopBackOff,3,0,1,26,1,Failed
39.84,32.86,0,296.04,0.84,Running,0,1,0,1,0,Normal
18.77,38.82,0,313.32,0.75,Running,0,1,0,1,0,Normal
74.31,90.0,2,1308.68,2.97,Running,0,1,0,12,0,Warning
81.26,85.22,2,2181.31,9.38,Running,0,1,0,31,1,SLA_Violation
44.21,29.29,0,233.41,0.74,Running,0,1,0,1,0,Normal
67.58,80.06,1,1560.88,1.98,Running,0,1,0,4,0,Warning
45.48,52.96,0,250.98,0.31,Running,0,1,0,0,0,Normal
32.86,38.34,0,352.68,1.51,Running,0,1,0,0,0,Normal
83.94,84.01,5,2000.0,5.54,Pending,1,1,1,10,0,SLA_Violation
29.67,52.95,0,258.59,0.61,Running,0,1,0,0,0,Normal
29.84,46.88,1,502.15,0.23,Running,0,1,0,0,0,Normal
93.53,97.73,3,6846.71,30.84,CrashLoopBackOff,3,0,1,61,0,Failed
69.13,79.73,1,1832.61,4.32,Running,0,1,0,4,1,Warning
76.06,83.53,2,1850.79,4.88,Running,0,1,0,6,0,Warning
88.89,87.16,3,2573.36,9.41,Pending,1,1,0,18,0,SLA_Violation
21.83,38.69,1,268.53,0.51,Running,0,1,0,0,0,Normal
42.78,36.91,0,303.71,0.0,Running,0,1,0,3,0,Normal
37.46,41.45,0,473.06,0.35,Running,0,1,0,1,0,Normal
73.75,77.0,2,1973.24,3.4,Running,0,1,0,8,1,Warning
95.84,95.75,10,4553.57,26.94,Failed,2,0,1,33,1,Failed
40.74,24.73,0,310.64,0.15,Running,0,1,0,1,0,Normal
92.17,80.38,3,2220.54,7.75,Running,0,1,0,17,1,SLA_Violation
94.39,87.67,5,2222.4,10.76,Pending,1,0,1,10,1,SLA_Violation
60.42,65.0,2,1632.0,3.0,Running,0,1,0,8,0,Warning
19.79,42.08,0,319.5,0.22,Running,0,1,0,3,0,Normal
17.2,43.72,0,352.02,0.45,Running,0,1,0,0,0,Normal
48.47,24.3,0,177.96,0.15,Running,0,1,0,3,0,Normal
29.54,37.43,0,280.7,0.68,Running,0,1,0,2,0,Normal
17.48,49.44,0,293.43,1.06,Running,0,1,0,0,0,Normal
96.03,97.28,6,5447.71,31.43,Failed,2,0,1,74,1,Failed
43.29,36.97,0,356.72,0.46,Running,0,1,0,0,0,Normal
44.4,28.24,0,444.08,0.48,Running,0,1,0,3,0,Normal
60.55,76.02,1,1295.68,4.34,Running,0,0,0,6,0,Warning
23.47,30.54,0,148.84,0.27,Running,0,1,0,2,0,Normal
5.76,19.16,0,360.83,0.89,Running,0,1,0,3,0,Normal
87.55,83.17,2,2476.14,6.99,Running,0,0,0,36,1,SLA_Violation
18.42,50.03,0,370.19,0.39,Running,0,1,0,0,0,Normal
30.27,37.08,0,136.66,0.38,Running,0,1,0,0,0,Normal
80.91,82.99,3,2359.45,10.6,Running,0,0,0,13,0,SLA_Violation
96.92,97.29,10,6399.36,34.25,CrashLoopBackOff,3,0,1,75,1,Failed
30.6,28.53,0,355.86,0.7,Running,0,1,0,0,0,Normal
38.95,41.35,0,383.96,0.23,Running,0,1,0,2,0,Normal
43.17,36.98,0,466.02,0.16,Running,0,1,0,0,0,Normal
85.89,76.58,1,1304.57,3.02,Running,0,0,0,14,1,Warning
69.44,78.39,1,1656.85,2.93,Running,0,1,0,5,0,Warning
71.81,90.0,1,2018.26,3.94,Running,0,1,0,15,0,Warning
72.3,75.96,3,1684.06,2.48,Running,0,0,0,13,0,Warning
27.43,18.31,0,331.94,0.82,Running,0,1,0,2,0,Normal
82.1,95.87,3,2000.0,5.0,Running,0,1,0,11,0,SLA_Violation
86.35,93.24,2,3341.96,6.08,Pending,1,0,1,26,0,SLA_Violation
80.63,74.69,3,1448.21,4.38,Running,0,1,1,12,0,Warning
36.52,19.24,0,418.12,1.19,Running,0,1,0,1,0,Normal
93.12,96.98,6,0.0,19.5,Pending,1,0,0,42,0,Failed
80.97,87.87,5,3086.36,8.09,Running,0,0,0,39,0,SLA_Violation
26.29,42.72,0,72.12,1.07,Running,0,1,0,0,0,Normal
78.0,86.19,4,2000.0,5.0,Running,0,1,1,19,0,SLA_Violation
91.96,85.66,5,2673.25,6.91,Pending,1,1,0,31,0,SLA_Violation
34.77,35.77,1,197.36,1.0,Running,0,1,0,3,0,Normal
25.06,19.43,0,265.75,1.25,Running,0,1,0,0,0,Normal
38.5,31.51,0,272.06,0.34,Running,0,1,0,2,0,Normal
97.46,89.91,4,2715.02,9.06,Pending,1,0,1,26,0,SLA_Violation
73.91,72.93,2,1441.1,3.43,Running,0,1,1,8,1,Warning
29.63,42.28,0,304.16,0.87,Running,0,1,0,1,0,Normal
29.19,35.79,0,140.14,0.96,Running,0,1,0,0,0,Normal
74.77,82.98,2,800.0,5.59,Running,0,1,0,15,0,Warning
70.88,83.87,1,1188.03,4.11,Running,0,1,0,5,0,Warning
19.47,28.76,0,453.12,0.4,Running,0,1,0,1,0,Normal
9.35,96.98,6,0.0,28.65,Failed,2,0,0,80,1,Failed
54.03,34.42,0,316.09,1.03,Running,0,1,0,3,0,Normal
41.06,46.87,0,351.1,0.0,Running,0,1,0,3,0,Normal
85.07,65.83,1,1590.79,2.75,Running,0,1,0,7,0,Warning
29.36,38.29,0,325.71,0.71,Running,0,1,0,0,0,Normal
94.68,90.27,3,2377.92,8.93,Running,0,1,0,24,1,SLA_Violation
41.89,22.72,0,347.79,0.85,Running,0,1,0,1,0,Normal
83.21,94.88,5,2424.97,7.25,Unknown,4,1,0,21,0,SLA_Violation
94.48,90.61,3,0.0,40.95,Unknown,4,0,1,38,0,Failed
21.53,25.09,0,127.73,0.18,Running,0,1,0,1,0,Normal
78.0,96.21,3,3004.91,5.62,Pending,1,0,0,16,1,SLA_Violation
88.0,82.85,2,1402.55,1.5,Running,0,1,0,7,0,Warning
52.91,21.1,0,168.37,1.01,Running,0,1,0,3,0,Normal
54.4,48.84,0,345.11,0.8,Running,0,1,0,3,0,Normal
78.83,81.07,1,1584.36,3.6,Running,0,1,0,9,0,Warning
29.37,27.46,0,277.55,0.0,Running,0,1,0,1,0,Normal
71.21,67.09,1,1168.92,3.68,Pending,1,1,0,11,0,Warning
83.14,82.35,1,1028.85,2.51,Pending,1,1,0,8,0,Warning
39.41,25.18,0,282.03,0.78,Running,0,1,0,2,0,Normal
20.32,36.05,0,193.28,0.2,Running,0,1,0,0,0,Normal
86.92,80.04,4,2720.24,6.96,Running,0,1,0,36,1,SLA_Violation
88.31,89.12,4,3182.07,7.25,Unknown,4,1,0,14,0,SLA_Violation
82.42,88.61,3,2771.65,7.1,Running,0,1,0,11,0,SLA_Violation
30.41,27.98,0,246.97,0.0,Running,0,1,0,3,0,Normal
47.5,22.56,0,244.57,0.14,Running,0,1,0,1,0,Normal
38.95,32.05,1,399.82,0.16,Running,0,1,0,0,0,Normal
86.67,83.82,3,3572.57,5.0,Running,0,1,1,33,0,SLA_Violation
95.93,96.66,4,0.0,23.7,CrashLoopBackOff,3,0,1,54,1,Failed
85.26,87.26,2,2981.94,11.42,Pending,1,0,0,20,0,SLA_Violation
24.43,21.3,0,292.94,1.79,Running,0,1,0,3,0,Normal
65.57,88.11,1,2003.31,2.95,Running,0,1,0,8,0,Warning
35.69,51.28,0,269.67,0.4,Running,0,1,0,0,0,Normal
24.18,24.85,0,248.06,0.0,Running,0,1,0,2,0,Normal
72.27,68.84,2,1570.14,1.94,Running,0,1,0,13,0,Warning
33.31,43.34,0,140.5,0.69,Running,0,1,0,2,0,Normal
42.28,22.9,1,433.81,0.71,Running,0,1,0,0,0,Normal
66.36,74.55,2,1667.5,3.58,Pending,1,1,0,12,0,Warning
35.39,25.79,0,313.55,0.0,Running,0,1,0,2,0,Normal
28.89,25.96,0,241.16,1.12,Running,0,1,0,1,0,Normal
40.91,41.09,0,212.61,0.34,Running,0,1,0,0,0,Normal
42.13,36.42,0,485.55,0.7,Running,0,1,0,3,0,Normal
31.92,31.91,0,310.68,0.42,Running,0,1,0,3,0,Normal
37.08,44.57,0,237.12,0.0,Running,0,1,0,0,0,Normal
11.64,40.08,1,211.73,0.0,Running,0,1,0,3,0,Normal
15.0,94.98,10,0.0,25.82,CrashLoopBackOff,3,0,1,90,1,Failed
9.6,93.84,6,0.0,28.22,CrashLoopBackOff,3,0,1,85,0,Failed
9.96,94.3,4,4244.25,30.37,CrashLoopBackOff,3,0,1,79,1,Failed
64.81,75.23,2,1497.26,4.59,Running,0,1,1,14,0,Warning
34.75,34.75,0,365.42,1.2,Running,0,1,0,0,0,Normal
35.58,35.1,0,195.05,0.0,Running,0,1,0,0,0,Normal
26.95,28.9,0,285.04,0.53,Running,0,1,0,2,0,Normal
35.3,34.3,0,338.92,0.53,Running,0,1,0,1,0,Normal
78.0,83.3,2,2427.96,5.0,Running,0,0,1,26,0,SLA_Violation
36.0,50.31,0,397.5,0.39,Running,0,1,0,1,0,Normal
44.91,36.49,1,273.03,0.19,Running,0,1,0,2,0,Normal
83.19,86.06,3,2585.21,7.32,Pending,1,0,0,19,1,SLA_Violation
30.03,39.37,0,395.25,0.97,Running,0,1,0,1,0,Normal
15.15,9.46,0,374.75,0.0,Running,0,1,0,2,0,Normal
83.65,82.15,3,2000.0,8.08,Pending,1,1,0,30,1,SLA_Violation
37.59,29.23,0,92.72,0.23,Running,0,1,0,3,0,Normal
75.13,65.0,1,1555.01,3.48,Pending,1,1,0,7,0,Warning
88.48,88.6,4,2013.47,9.39,Running,0,1,0,24,0,SLA_Violation
28.41,34.73,0,225.34,0.28,Running,0,1,0,1,0,Normal
21.15,33.27,0,436.94,0.0,Running,0,1,0,2,0,Normal
90.16,94.16,5,4330.93,35.4,Failed,2,0,1,54,1,Failed
23.94,53.26,0,354.23,0.26,Running,0,1,0,3,0,Normal
97.94,84.97,3,2871.05,7.6,Unknown,4,0,1,39,0,SLA_Violation
43.02,50.62,0,302.56,0.12,Running,0,1,0,3,0,Normal
96.38,100.0,10,5136.54,21.35,Failed,2,0,1,78,1,Failed
31.85,21.53,0,222.27,1.1,Running,0,1,0,0,0,Normal
23.43,24.53,0,342.93,1.09,Running,0,1,0,3,0,Normal
37.19,44.96,0,239.46,0.0,Running,0,1,0,0,0,Normal
45.01,31.77,1,279.93,1.16,Running,0,1,0,2,0,Normal
88.34,90.28,3,3582.5,5.71,Running,0,0,0,27,0,SLA_Violation
39.28,35.57,0,321.49,1.26,Running,0,1,0,2,0,Normal
88.05,90.69,4,3036.25,6.27,Pending,1,1,0,21,1,SLA_Violation
21.61,24.55,1,142.69,1.53,Running,0,1,0,1,0,Normal
18.97,32.79,0,277.85,0.65,Running,0,1,0,0,0,Normal
38.16,43.6,0,253.35,0.42,Running,0,1,0,2,0,Normal
86.7,86.76,3,3303.67,7.98,Running,0,0,0,39,1,SLA_Violation
37.35,41.63,2,393.88,0.59,Running,0,1,0,2,0,Normal
61.63,78.2,2,1304.59,2.97,Running,0,1,0,10,0,Warning
35.86,47.38,0,301.7,0.65,Running,0,1,0,3,0,Normal
85.62,76.93,2,2200.0,4.07,Running,0,1,0,10,0,Warning
60.0,81.03,3,1614.35,4.79,Running,0,1,0,10,0,Warning
77.39,73.89,2,1132.71,3.29,Running,0,1,0,3,0,Warning
79.9,85.1,2,2794.29,10.34,Running,0,1,0,16,0,SLA_Violation
87.37,82.02,5,2722.3,9.39,Pending,1,0,0,14,0,SLA_Violation
67.12,73.93,3,1504.41,2.72,Running,0,1,1,10,1,Warning
36.48,33.79,0,333.56,0.06,Running,0,1,0,2,0,Normal
68.5,80.78,1,1388.15,5.23,Running,0,1,0,7,0,Warning
82.6,89.12,4,2966.3,5.0,Running,0,1,0,39,1,SLA_Violation
12.39,19.74,0,401.01,0.22,Running,0,1,0,3,0,Normal
100.0,95.74,4,0.0,45.06,Failed,2,0,0,30,0,Failed
50.62,47.08,0,381.93,0.8,Running,0,1,0,3,0,Normal
37.78,29.49,0,234.54,0.5,Running,0,1,0,2,0,Normal
2.73,97.79,3,0.0,25.88,CrashLoopBackOff,3,0,0,87,0,Failed
44.78,23.58,0,284.51,0.14,Running,0,1,0,2,0,Normal
78.0,87.59,2,2439.13,10.03,Pending,1,1,0,39,0,SLA_Violation
77.05,66.81,3,2056.23,4.72,Running,0,1,0,7,0,Warning
76.66,73.19,3,1212.17,3.13,Running,0,1,0,14,1,Warning
40.89,53.85,1,423.46,0.26,Running,0,1,0,3,0,Normal
91.64,88.0,10,0.0,23.52,CrashLoopBackOff,3,0,1,57,1,Failed
25.34,19.05,0,341.09,0.23,Running,0,1,0,0,0,Normal
91.49,94.89,5,0.0,41.61,CrashLoopBackOff,3,0,1,37,1,Failed
25.43,28.98,0,337.5,0.0,Running,0,1,0,0,0,Normal
