cpu_percent,memory_percent,requests_per_sec,current_replicas,response_time_ms,queue_depth,scale_action
69.0,66.1,299.29,6,494.17,55,no_change
18.99,14.52,104.44,9,193.39,5,scale_down
16.67,24.1,55.35,7,131.58,16,scale_down
88.49,78.06,1090.5,2,1922.92,56,scale_up
57.63,38.26,220.68,2,332.09,77,no_change
56.17,42.01,408.34,2,661.99,46,no_change
86.04,68.72,887.74,3,1935.14,352,scale_up
28.51,56.46,174.17,2,286.33,19,no_change
69.46,41.59,125.55,3,455.61,32,no_change
9.23,29.15,1.0,5,83.05,2,scale_down
91.86,76.4,834.19,3,2003.63,245,scale_up
31.16,9.68,58.46,4,225.15,8,scale_down
82.38,73.97,915.07,2,2601.63,323,scale_up
79.4,91.7,807.68,3,2403.5,435,scale_up
72.32,61.53,299.98,4,499.26,20,no_change
75.0,38.16,331.81,5,676.5,15,no_change
19.46,37.02,51.43,8,145.25,1,scale_down
27.42,18.91,76.28,5,159.72,6,scale_down
63.81,60.88,259.69,4,323.4,77,no_change
1.61,5.28,47.26,6,50.0,15,scale_down
47.6,52.01,385.62,2,675.66,33,no_change
91.31,83.31,751.47,5,2157.61,82,scale_up
8.19,21.82,2.47,4,203.3,7,scale_down
7.35,21.23,59.64,3,208.14,0,scale_down
73.23,77.4,882.48,4,2900.47,354,scale_up
84.73,75.25,1104.05,4,2521.02,425,scale_up
94.62,70.32,878.17,5,1766.67,184,scale_up
75.86,84.66,897.78,3,2007.2,399,scale_up
71.48,44.46,273.0,2,594.59,47,no_change
83.3,90.22,643.74,2,1898.26,365,scale_up
76.66,95.07,751.32,2,1892.59,303,scale_up
12.7,26.79,69.91,4,121.24,20,scale_down
44.01,28.17,313.87,6,792.35,25,no_change
10.35,25.09,32.54,3,95.22,0,scale_down
60.2,75.0,354.34,5,537.92,11,no_change
44.76,75.0,330.7,6,485.11,14,no_change
49.07,53.23,346.92,4,826.81,44,no_change
69.14,52.97,295.85,5,659.4,59,no_change
40.88,64.7,279.65,5,673.64,17,no_change
96.99,84.42,834.61,4,1993.05,400,scale_up
84.45,70.91,879.98,5,1500.0,192,scale_up
91.78,85.85,814.73,1,1986.79,259,scale_up
49.76,23.39,382.38,5,575.43,11,no_change
27.12,23.14,56.94,3,170.05,10,scale_down
35.37,43.24,313.29,4,554.62,75,no_change
80.96,77.74,806.62,1,3127.5,180,scale_up
45.12,39.84,284.73,5,825.24,67,no_change
73.6,75.0,306.1,6,696.24,46,no_change
34.25,44.7,188.49,3,670.99,41,no_change
50.58,53.39,215.38,2,727.6,34,no_change
