failure_type,failure_type_encoded,cpu_percent,memory_percent,restart_count,uptime_percent,replica_count,error_rate_percent,recovery_action,recovery_action_encoded
PodPending,4,89.72,91.12,0,48.37,4,5.95,clear_disk,6
ConfigError,8,13.17,28.07,4,34.34,3,41.46,fix_configuration,4
NetworkError,5,28.28,29.74,4,67.99,2,8.7,fix_configuration,4
CrashLoopBackOff,0,46.06,63.53,6,51.29,2,49.22,no_action_monitor,7
ContainerNotReady,6,35.26,16.58,5,60.78,2,20.5,restart_pod,0
PodPending,4,88.59,79.94,0,29.77,2,3.62,scale_up_replicas,2
DiskPressure,7,35.2,46.63,2,63.65,1,2.53,clear_disk,6
PodPending,4,90.28,95.19,1,65.11,3,13.22,scale_up_replicas,2
PodPending,4,92.79,88.67,1,43.24,8,8.56,scale_up_replicas,2
DiskPressure,7,38.69,51.71,1,75.68,1,5.43,drain_node,5
UnknownFailure,9,60.58,45.95,0,66.11,1,15.47,clear_disk,6
UnknownFailure,9,66.68,12.03,0,43.45,4,20.86,drain_node,5
NetworkError,5,34.09,33.64,5,61.05,1,17.89,restart_pod,0
HighMemory,3,68.37,85.46,2,80.25,3,6.74,clear_disk,6
HighMemory,3,65.94,92.11,2,85.16,4,4.28,adjust_resource_limits,3
NetworkError,5,20.87,75.0,2,60.48,1,18.52,restart_pod,0
HighCPU,2,95.39,78.94,0,80.64,1,2.0,fix_configuration,4
CrashLoopBackOff,0,15.16,81.86,3,44.43,3,29.72,rollout_restart_deployment,1
OOMKilled,1,30.45,90.65,4,67.08,3,7.5,adjust_resource_limits,3
UnknownFailure,9,32.71,100.0,5,73.5,4,19.45,drain_node,5
OOMKilled,1,66.49,94.7,7,65.6,3,16.99,adjust_resource_limits,3
OOMKilled,1,53.37,93.29,2,71.3,3,9.35,adjust_resource_limits,3
ConfigError,8,18.29,21.65,9,20.97,2,20.0,fix_configuration,4
ContainerNotReady,6,20.91,67.06,3,60.35,3,26.21,restart_pod,0
PodPending,4,70.0,73.93,1,22.91,2,7.19,scale_up_replicas,2
ConfigError,8,44.22,29.6,8,65.43,3,46.18,fix_configuration,4
DiskPressure,7,65.47,85.0,2,73.91,3,2.92,clear_disk,6
DiskPressure,7,25.23,50.36,3,75.82,2,8.06,clear_disk,6
ContainerNotReady,6,15.58,40.89,2,37.79,3,16.59,restart_pod,0
UnknownFailure,9,57.78,62.81,5,76.78,2,15.18,no_action_monitor,7
NetworkError,5,43.71,40.69,5,49.28,3,5.19,restart_pod,0
NetworkError,5,26.8,37.98,5,83.81,1,19.2,restart_pod,0
PodPending,4,83.43,85.08,0,44.6,7,11.24,clear_disk,6
HighMemory,3,85.0,100.0,1,80.97,2,7.01,adjust_resource_limits,3
DiskPressure,7,68.68,52.75,2,81.79,1,1.73,clear_disk,6
NetworkError,5,30.34,57.34,4,54.23,3,18.98,restart_pod,0
HighMemory,3,36.39,100.0,3,92.63,2,6.56,adjust_resource_limits,3
HighCPU,2,94.54,60.94,0,96.07,3,3.44,scale_up_replicas,2
OOMKilled,1,64.65,98.23,2,82.15,4,2.0,adjust_resource_limits,3
ContainerNotReady,6,26.01,24.71,4,67.24,2,5.0,restart_pod,0
DiskPressure,7,14.32,85.0,0,81.18,2,4.24,rollout_restart_deployment,1
DiskPressure,7,50.46,57.2,2,84.97,1,2.74,clear_disk,6
PodPending,4,86.49,83.82,1,29.06,8,13.11,scale_up_replicas,2
HighCPU,2,89.77,70.26,2,85.92,5,9.9,scale_up_replicas,2
PodPending,4,76.67,73.32,0,31.89,7,8.53,scale_up_replicas,2
HighCPU,2,99.71,78.9,3,66.52,2,5.75,rollout_restart_deployment,1
NetworkError,5,5.0,51.93,4,81.77,2,19.68,drain_node,5
PodPending,4,85.67,82.59,1,34.31,5,9.73,no_action_monitor,7
PodPending,4,83.15,89.44,0,47.73,3,4.56,scale_up_replicas,2
NetworkError,5,11.96,12.04,2,84.69,1,16.34,restart_pod,0
HighCPU,2,93.69,80.0,2,80.5,2,3.12,scale_up_replicas,2
PodPending,4,83.94,82.24,1,80.0,6,14.26,fix_configuration,4
OOMKilled,1,62.42,99.35,6,68.22,2,17.39,adjust_resource_limits,3
OOMKilled,1,43.97,91.13,6,82.04,3,19.25,adjust_resource_limits,3
UnknownFailure,9,50.45,49.94,8,34.88,3,4.18,restart_pod,0
OOMKilled,1,56.72,93.41,7,67.82,3,14.16,drain_node,5
NetworkError,5,24.76,25.48,1,40.81,2,18.83,no_action_monitor,7
DiskPressure,7,54.28,30.35,1,74.76,1,4.56,clear_disk,6
ConfigError,8,10.1,39.22,3,34.21,3,48.48,fix_configuration,4
HighMemory,3,57.58,82.15,4,90.09,1,3.13,adjust_resource_limits,3
ConfigError,8,17.63,30.98,2,61.91,3,33.8,no_action_monitor,7
CrashLoopBackOff,0,31.07,77.65,4,66.96,2,36.71,drain_node,5
ContainerNotReady,6,19.23,34.31,2,62.48,3,13.14,restart_pod,0
UnknownFailure,9,8.14,37.24,4,92.09,2,12.47,rollout_restart_deployment,1
OOMKilled,1,77.49,95.54,6,62.35,4,25.22,adjust_resource_limits,3
HighMemory,3,63.18,95.81,0,69.32,1,9.12,no_action_monitor,7
HighCPU,2,97.34,59.35,2,78.54,2,4.86,scale_up_replicas,2
DiskPressure,7,54.17,58.52,0,81.01,1,6.02,scale_up_replicas,2
PodPending,4,79.81,72.76,0,49.25,3,6.68,restart_pod,0
OOMKilled,1,65.72,91.78,6,80.2,3,25.83,adjust_resource_limits,3
HighMemory,3,60.0,91.3,2,72.32,2,4.37,restart_pod,0
CrashLoopBackOff,0,31.83,78.86,15,58.92,2,16.78,rollout_restart_deployment,1
PodPending,4,87.04,88.61,1,49.49,6,13.88,scale_up_replicas,2
OOMKilled,1,65.55,91.85,2,64.49,1,16.81,adjust_resource_limits,3
UnknownFailure,9,8.35,58.41,6,29.77,3,20.19,drain_node,5
UnknownFailure,9,72.68,62.62,5,51.48,3,13.36,drain_node,5
DiskPressure,7,37.3,39.54,3,71.61,1,5.4,clear_disk,6
PodPending,4,85.35,93.61,1,65.32,2,10.63,scale_up_replicas,2
ConfigError,8,3.91,22.15,4,24.03,3,47.25,fix_configuration,4
UnknownFailure,9,32.67,40.56,6,86.22,5,15.8,no_action_monitor,7
UnknownFailure,9,75.18,9.98,2,66.16,1,19.73,no_action_monitor,7
ContainerNotReady,6,57.59,16.78,1,59.73,3,28.27,restart_pod,0
OOMKilled,1,46.15,92.27,2,54.5,4,7.41,adjust_resource_limits,3
ContainerNotReady,6,9.67,40.88,1,78.44,1,9.91,restart_pod,0
CrashLoopBackOff,0,45.15,66.91,14,59.96,3,13.89,no_action_monitor,7
ConfigError,8,23.86,24.45,4,37.65,3,41.8,fix_configuration,4
PodPending,4,85.69,86.08,2,80.0,2,8.45,scale_up_replicas,2
ContainerNotReady,6,57.67,45.37,4,63.51,3,21.19,restart_pod,0
HighCPU,2,85.89,59.59,0,69.06,4,2.41,scale_up_replicas,2
NetworkError,5,36.65,57.91,2,86.46,3,18.11,fix_configuration,4
ContainerNotReady,6,37.34,54.77,4,45.06,1,23.24,drain_node,5
CrashLoopBackOff,0,23.44,46.56,13,53.11,2,34.35,rollout_restart_deployment,1
DiskPressure,7,53.25,68.37,0,78.48,3,4.34,clear_disk,6
CrashLoopBackOff,0,77.08,19.51,12,85.0,1,27.1,rollout_restart_deployment,1
HighCPU,2,94.85,50.12,2,79.38,4,6.45,clear_disk,6
HighCPU,2,97.21,62.1,3,80.66,1,15.83,drain_node,5
HighMemory,3,77.98,95.67,0,76.47,1,4.12,adjust_resource_limits,3
DiskPressure,7,40.8,71.22,2,65.09,3,1.86,scale_up_replicas,2
DiskPressure,7,53.09,59.79,2,67.3,1,1.82,clear_disk,6
ConfigError,8,34.38,28.57,3,19.55,1,30.6,fix_configuration,4
UnknownFailure,9,40.96,68.32,4,76.9,3,21.05,no_action_monitor,7
HighCPU,2,84.55,58.36,0,96.41,3,9.0,no_action_monitor,7
ConfigError,8,23.59,48.48,2,49.14,3,65.64,no_action_monitor,7
HighCPU,2,92.22,43.29,3,78.0,1,5.54,drain_node,5
ContainerNotReady,6,31.83,13.47,5,49.61,1,17.45,restart_pod,0
HighCPU,2,95.64,54.76,1,84.42,3,2.04,no_action_monitor,7
CrashLoopBackOff,0,40.46,76.38,8,62.33,2,14.93,rollout_restart_deployment,1
DiskPressure,7,26.23,63.83,3,72.76,3,3.85,clear_disk,6
UnknownFailure,9,34.68,62.59,0,58.98,3,10.51,restart_pod,0
OOMKilled,1,32.98,97.77,6,67.79,4,19.86,adjust_resource_limits,3
ContainerNotReady,6,17.1,66.01,2,84.16,1,5.0,adjust_resource_limits,3
OOMKilled,1,33.96,96.43,6,56.8,4,13.95,scale_up_replicas,2
HighCPU,2,94.13,52.23,3,89.31,5,2.92,scale_up_replicas,2
ConfigError,8,2.0,34.82,8,54.64,2,87.55,adjust_resource_limits,3
ContainerNotReady,6,5.0,51.26,5,35.47,3,34.05,restart_pod,0
HighMemory,3,67.32,86.24,3,87.8,1,4.34,adjust_resource_limits,3
ContainerNotReady,6,39.51,43.09,2,90.0,3,34.52,restart_pod,0
CrashLoopBackOff,0,28.05,71.16,15,65.32,3,15.87,restart_pod,0
HighMemory,3,49.56,100.0,0,83.58,3,9.0,adjust_resource_limits,3
DiskPressure,7,41.82,46.9,3,75.27,1,3.47,scale_up_replicas,2
UnknownFailure,9,12.67,24.92,8,79.16,1,8.95,rollout_restart_deployment,1
HighMemory,3,60.39,92.17,2,83.13,3,9.44,adjust_resource_limits,3
HighMemory,3,43.52,93.85,4,87.55,3,8.96,adjust_resource_limits,3
PodPending,4,73.7,84.04,2,80.0,8,7.6,scale_up_replicas,2
OOMKilled,1,59.67,97.34,1,59.75,3,29.67,adjust_resource_limits,3
HighMemory,3,67.49,93.6,1,63.38,2,8.38,adjust_resource_limits,3
UnknownFailure,9,62.66,90.6,1,58.77,4,4.1,no_action_monitor,7
DiskPressure,7,34.77,47.43,0,63.81,3,6.58,clear_disk,6
NetworkError,5,54.92,37.06,4,59.11,2,5.48,scale_up_replicas,2
CrashLoopBackOff,0,53.92,83.07,11,50.44,3,28.83,adjust_resource_limits,3
ContainerNotReady,6,41.51,65.87,4,68.0,2,21.56,drain_node,5
ContainerNotReady,6,37.69,18.62,2,43.3,3,13.54,restart_pod,0
HighCPU,2,97.06,49.97,1,80.76,2,3.36,scale_up_replicas,2
ConfigError,8,18.62,42.02,10,37.73,1,38.21,clear_disk,6
OOMKilled,1,50.5,100.0,3,64.97,2,5.55,adjust_resource_limits,3
NetworkError,5,27.49,41.93,4,75.32,3,28.06,restart_pod,0
ConfigError,8,9.54,15.49,10,35.15,3,60.27,fix_configuration,4
PodPending,4,74.92,77.14,1,38.15,5,11.77,no_action_monitor,7
ContainerNotReady,6,42.92,53.56,5,85.08,1,17.55,restart_pod,0
UnknownFailure,9,20.31,20.48,5,28.24,5,8.33,scale_up_replicas,2
HighMemory,3,54.24,94.94,2,80.17,3,4.53,adjust_resource_limits,3
UnknownFailure,9,47.1,24.03,7,85.51,3,5.71,no_action_monitor,7
HighCPU,2,86.3,67.27,2,89.59,2,0.0,scale_up_replicas,2
OOMKilled,1,67.1,92.78,6,66.26,3,16.5,scale_up_replicas,2
UnknownFailure,9,64.67,61.14,7,64.0,3,8.6,fix_configuration,4
ConfigError,8,24.12,23.82,6,67.08,1,58.8,fix_configuration,4
OOMKilled,1,31.53,93.57,5,70.48,4,25.4,adjust_resource_limits,3
HighCPU,2,99.06,49.06,2,77.53,1,1.82,scale_up_replicas,2
OOMKilled,1,55.05,100.0,8,75.39,4,2.25,drain_node,5
PodPending,4,79.19,77.01,1,33.56,6,6.45,scale_up_replicas,2
ContainerNotReady,6,40.54,50.23,3,81.38,1,24.19,restart_pod,0
NetworkError,5,5.69,24.14,3,62.63,1,21.18,fix_configuration,4
UnknownFailure,9,71.54,51.08,8,66.01,5,13.9,no_action_monitor,7
ContainerNotReady,6,31.17,41.3,1,81.89,1,19.33,restart_pod,0
UnknownFailure,9,49.24,49.16,8,90.96,2,3.14,scale_up_replicas,2
CrashLoopBackOff,0,75.52,26.47,15,50.19,1,37.45,fix_configuration,4
CrashLoopBackOff,0,60.61,21.93,14,43.61,2,32.78,rollout_restart_deployment,1
UnknownFailure,9,100.0,81.16,2,60.04,2,0.0,no_action_monitor,7
PodPending,4,85.65,84.9,2,42.35,4,4.6,scale_up_replicas,2
ConfigError,8,21.59,15.58,5,68.09,2,72.75,fix_configuration,4
UnknownFailure,9,66.45,52.24,6,51.8,4,11.83,no_action_monitor,7
ConfigError,8,36.39,33.69,10,43.06,2,63.86,fix_configuration,4
ContainerNotReady,6,43.18,45.94,1,79.71,1,24.14,restart_pod,0
ConfigError,8,28.59,26.61,2,36.19,1,41.78,scale_up_replicas,2
HighMemory,3,49.99,82.97,0,70.88,1,3.18,drain_node,5
NetworkError,5,27.39,63.43,2,62.64,2,21.93,fix_configuration,4
ConfigError,8,22.73,40.88,9,31.37,1,46.66,fix_configuration,4
NetworkError,5,33.41,57.05,3,85.16,2,23.8,restart_pod,0
CrashLoopBackOff,0,64.66,53.55,12,57.41,1,41.79,rollout_restart_deployment,1
ContainerNotReady,6,42.31,28.97,4,79.96,2,18.33,restart_pod,0
PodPending,4,82.35,89.14,1,48.22,7,9.56,no_action_monitor,7
HighCPU,2,95.31,43.26,0,88.08,3,9.05,scale_up_replicas,2
HighMemory,3,45.65,93.25,2,71.71,1,9.06,adjust_resource_limits,3
OOMKilled,1,70.24,93.94,3,90.0,3,23.85,adjust_resource_limits,3
ContainerNotReady,6,45.6,49.76,2,79.76,3,12.03,restart_pod,0
NetworkError,5,37.92,45.75,1,59.0,2,23.72,scale_up_replicas,2
NetworkError,5,53.48,33.67,2,64.18,3,13.44,no_action_monitor,7
HighMemory,3,33.2,94.89,3,79.74,4,6.14,clear_disk,6
NetworkError,5,20.2,37.22,2,81.45,1,20.01,drain_node,5
HighCPU,2,92.15,58.11,3,75.11,3,6.87,scale_up_replicas,2
HighMemory,3,41.17,86.3,3,69.51,4,5.47,scale_up_replicas,2
ConfigError,8,16.48,24.99,8,26.42,1,65.08,fix_configuration,4
DiskPressure,7,57.51,52.39,0,70.22,2,2.84,clear_disk,6
NetworkError,5,30.35,19.0,5,50.61,3,26.88,restart_pod,0
UnknownFailure,9,57.55,90.86,8,59.02,1,9.11,fix_configuration,4
DiskPressure,7,38.88,50.21,2,68.4,1,4.54,clear_disk,6
